Country,Year,Pop_mill,Pop_male_mill,Pop_female_mill,Pop_0_14_per,Pop_60_plus_per,Pop_density,Surface_area_thou_km2
Kyrgyzstan,2020,6.42,3.16,3.27,34.4,7.4,33.5,200
Lao,2020,7.32,3.69,3.63,31.4,6.9,31.7,237
Latvia,2020,1.9,0.88,1.02,15.7,28.4,30.5,65
Lebanon,2020,5.66,2.75,2.91,27.8,13.6,553.6,10
Lesotho,2020,2.25,1.11,1.14,34.2,6.6,74.2,30
Liberia,2020,5.09,2.53,2.56,41.5,5.1,52.8,111
Libya,2020,6.65,3.37,3.28,29.4,7.3,4,1676
Liechtenstein,2020,0.04,0.02,0.02,14.6,25.4,242.2,0
Lithuania,2020,2.82,1.32,1.5,15.1,27.6,45,65
Luxembourg,2020,0.63,0.32,0.31,16,20.1,243.4,3
Madagascar,2020,28.23,14.15,14.08,39.7,5.2,48.5,587
Malawi,2020,19.38,9.42,9.96,43.7,4,204.9,118
Malaysia,2020,33.2,16.99,16.21,23.3,10.8,101.1,331
Maldives,2020,0.51,0.3,0.22,21.8,7.1,1714.8,0
Mali,2020,21.22,10.72,10.51,47.6,3.8,17.4,1240
Malta,2020,0.52,0.27,0.25,13.2,24.8,1636.1,0
Marshall Islands,2020,0.04,0.02,0.02,34.1,6.9,241.2,0
Martinique,2020,0.37,0.17,0.2,16.5,28.9,349.4,1
Mauritania,2020,4.5,2.2,2.3,42.4,5.2,4.4,1031
Mauritius,2020,1.3,0.64,0.66,17,17.8,639.3,2
Mexico,2020,126,61.59,64.41,25.3,11.7,64.3,1964
Micronesia (Fed. States of),2020,0.11,0.06,0.06,31.2,9.2,160.2,1
Moldova,2020,3.08,1.47,1.62,19.6,20.2,93.8,34
Monaco,2020,0.04,0.02,0.02,12.6,43.4,24779.9,0
Mongolia,2020,3.29,1.64,1.66,32.2,7.3,2.1,1564
Montenegro,2020,0.63,0.31,0.32,18.2,22.3,45.5,14
Montserrat,2020,0,0,0,14.1,22.9,43.7,0
Morocco,2020,36.69,18.48,18.21,27.1,11.2,82.2,447
Mozambique,2020,31.18,15.29,15.88,43.9,4.2,39.6,799
Myanmar,2020,53.42,26.61,26.82,25.1,10.3,81.8,677
Namibia,2020,2.49,1.2,1.29,36.2,6.2,3,825
Nauru,2020,0.01,0.01,0.01,39,4.2,615.8,0
Nepal,2020,29.35,13.98,15.37,30.1,9,199.4,147
Netherlands,2020,17.43,8.66,8.77,15.6,26.1,517.8,42
New Caledonia,2020,0.29,0.14,0.14,22.7,14.8,15.7,19
New Zealand,2020,5.06,2.51,2.55,19.1,21.3,19.1,268
Nicaragua,2020,6.76,3.33,3.43,30.4,7.6,56.1,130
Niger,2020,24.33,12.34,11.99,48.9,4,19.2,1267
Nigeria,2020,208.33,105.24,103.08,43.5,4.8,228.7,924
Niue,2020,0,0,0,26.6,21.3,7.5,0
North Macedonia,2020,2.11,1.05,1.06,16.1,20.9,84.7,26
Northern Mariana Islands,2020,0.05,0.03,0.02,22.1,16.2,108.5,0
Norway,2020,5.38,2.71,2.67,17.2,23.5,17.7,324
Oman,2020,4.54,2.82,1.72,25.6,4.5,14.7,310
Pakistan,2020,227.2,114.82,112.38,37.3,6.6,294.7,796
Palau,2020,0.02,0.01,0.01,20.9,14.7,39.1,0
Panama,2020,4.29,2.15,2.15,26.7,12.1,57.9,75
Papua New Guinea,2020,9.75,5.04,4.71,34.9,5.2,21.5,463
Paraguay,2020,6.62,3.32,3.29,29.2,9.1,16.4,407
Peru,2020,33.3,16.5,16.81,26.7,11.8,26,1285
Philippines,2020,112.19,56.95,55.24,30.9,8.3,374,300
Poland,2020,38.43,18.59,19.84,15.3,25.5,125.5,313
Portugal,2020,10.3,4.86,5.44,13.5,28.9,112,92
Puerto Rico,2020,3.27,1.55,1.72,13.9,28.7,376.4,9
Qatar,2020,2.76,2.01,0.76,15.4,2.7,238.3,12
Réunion,2020,0.96,0.46,0.5,23.4,17.7,383.1,3
Romania,2020,19.44,9.41,10.04,16,25.2,84.5,238
Russian Federation,2020,145.62,67.64,77.97,17.7,22.2,8.9,17098
Rwanda,2020,13.15,6.42,6.72,39.3,5.1,543,26
Saint Helena,2020,0.01,0,0,13.9,33.2,13.9,0
Saint Kitts and Nevis,2020,0.05,0.02,0.02,20,15,183.2,0
Saint Lucia,2020,0.18,0.09,0.09,18.6,13.5,291,1
Saint Pierre and Miquelon,2020,0.01,0,0,17.3,23.5,25.7,0
Saint Vincent & Grenadines,2020,0.1,0.05,0.05,22.3,15.7,268.3,0
Samoa,2020,0.21,0.11,0.11,37.9,7.8,75.9,3
San Marino,2020,0.03,0.02,0.02,13.4,26.5,557.5,0
Sao Tome and Principe,2020,0.22,0.11,0.11,40.6,5.8,227.8,1
Saudi Arabia,2020,36,20.89,15.11,26,4.5,16.7,2207
Senegal,2020,16.44,8.08,8.36,42.1,4.9,85.4,197
Serbia,2020,7.36,3.53,3.83,14.1,27.2,95.9,88
Seychelles,2020,0.11,0.06,0.05,23.2,12.2,230.9,0
Sierra Leone,2020,8.23,4.12,4.11,39.8,5,114.8,72
Singapore,2020,5.91,3.09,2.82,12.2,20.8,8652.8,1
Sint Maarten (Dutch part),2020,0.04,0.02,0.02,12.5,16.8,1283,0
Slovakia,2020,5.46,2.66,2.79,15.8,23.4,111.3,49
Slovenia,2020,2.12,1.06,1.05,15.2,26.9,105.2,20
Solomon Islands,2020,0.69,0.35,0.34,39.6,5.3,24,29
Somalia,2020,16.54,8.29,8.25,47.3,4.2,26.4,638
South Africa,2020,58.8,28.58,30.22,28.7,8.7,48.2,1221
Spain,2020,47.36,23.21,24.15,14.4,25.9,94.3,506
Sri Lanka,2020,21.72,10.47,11.25,23.6,15.8,346.3,66
State of Palestine,2020,5.02,2.5,2.52,39.5,5.3,833.8,6
Suriname,2020,0.61,0.3,0.3,26.8,10.9,3.9,164
Sweden,2020,10.37,5.22,5.15,17.7,25.5,25.5,439
Switzerland,2020,8.64,4.29,4.35,15.1,24.8,216,41
Syria,2020,20.77,10.41,10.36,34.5,7.1,113.1,185
Tajikistan,2020,9.54,4.8,4.74,36.5,5.7,66.7,141
Tanzania,2020,61.7,30.48,31.23,43.9,4.8,69.7,947
Thailand,2020,71.48,34.77,36.71,16.1,20.4,139.9,513
Timor-Leste,2020,1.3,0.66,0.64,35.9,7.4,87.4,15
Togo,2020,8.44,4.24,4.2,40.5,5,155.2,57
Tokelau,2020,0,0,0,29.9,12.3,152.2,0
Tonga,2020,0.11,0.05,0.05,35.1,8.9,161.9,1
Trinidad and Tobago,2020,1.52,0.75,0.77,19.5,16,295.9,5
Tunisia,2020,12.16,6.01,6.15,25,13,78.2,164
Turkiye,2020,84.14,42.18,41.95,23.7,12,109.3,784
Turkmenistan,2020,6.25,3.1,3.15,31.2,8.2,13.3,488
Turks and Caicos Islands,2020,0.04,0.02,0.02,16.8,14.8,46.6,1
Tuvalu,2020,0.01,0.01,0.01,31.6,10.4,369,0
Uganda,2020,44.4,21.97,22.43,45.7,2.8,222.2,242
Ukraine,2020,43.91,20.33,23.58,15.3,24.1,75.8,604
United Arab Emirates,2020,9.29,6.48,2.81,14.9,3,130.8,71
United Kingdom,2020,67.06,33.12,33.94,17.8,24.5,276.3,242
United States,2020,335.94,166.5,169.44,18.5,22.5,36.7,9834
Uruguay,2020,3.43,1.66,1.77,19.8,20.4,19.8,174
Uzbekistan,2020,33.53,16.77,16.76,29.8,8.1,78.8,449
Vanuatu,2020,0.31,0.16,0.15,39.8,5.7,25.6,12
Venezuela,2020,28.49,14.11,14.38,28.5,12.1,31.1,930
Vietnam,2020,96.65,47.73,48.92,22.7,13.1,308.4,331
Virgin Islands,2020,0.1,0.05,0.05,19.3,26.9,287,0
Wallis and Futuna Islands,2020,0.01,0.01,0.01,24,17.9,83.2,0
Western Sahara,2020,0.56,0.31,0.25,24.8,8.8,2.1,266
Yemen,2020,32.28,16.32,15.96,40.2,4.1,61.1,528
Zambia,2020,18.93,9.34,9.59,43.7,2.9,25.5,753
Zimbabwe,2020,15.67,7.39,8.28,41.2,5,40.5,391
Afghanistan,2022,41.13,20.77,20.36,43.1,3.8,63.3,
Albania,2022,2.84,1.42,1.42,16.1,23.5,103.7,
Algeria,2022,44.9,22.86,22.04,30.6,9.7,18.9,
American Samoa,2022,0.04,0.02,0.02,27.1,12.1,221.4,
Andorra,2022,0.08,0.04,0.04,12.8,21.6,169.8,
Angola,2022,35.59,17.59,18,45,4.3,28.5,
Anguilla,2022,0.02,0.01,0.01,17.3,16,180.2,
Antigua and Barbuda,2022,0.09,0.04,0.05,18.5,16.1,213.1,
Argentina,2022,45.51,22.53,22.98,23.1,16.2,16.3,
Armenia,2022,2.78,1.25,1.53,20.5,20.3,97.7,
Aruba,2022,0.11,0.05,0.06,16.2,23.9,591.4,
Australia,2022,26.18,13,13.18,18.2,22.6,3.4,
Austria,2022,8.94,4.4,4.54,14.4,26.7,108.3,
Azerbaijan,2022,10.36,5.11,5.25,23.5,12.5,125.3,
Bahamas,2022,0.41,0.2,0.21,19.1,13.9,76.5,
Bahrain,2022,1.47,0.91,0.56,20.2,6.9,1880.2,
Bangladesh,2022,171.19,84.86,86.33,26,9.3,1315.1,
Barbados,2022,0.28,0.14,0.15,16.9,23.1,655,
Belarus,2022,9.54,4.39,5.14,16.8,24.5,47,
Belgium,2022,11.66,5.76,5.9,16.5,26.2,385,
Belize,2022,0.41,0.2,0.2,27.7,8,17.8,
Benin,2022,13.35,6.69,6.66,42.4,4.9,118.4,
Bermuda,2022,0.06,0.03,0.03,14.7,28.6,1188.6,
Bhutan,2022,0.78,0.41,0.37,22.1,9.3,20.4,
Bolivia,2022,12.22,6.13,6.1,30.8,7.6,11.3,
"Bonaire, St. Eustatius & Saba",2022,0.03,0.01,0.01,16.8,21.1,82.4,
Bosnia and Herzegovina,2022,3.23,1.59,1.64,14.9,25.8,63.2,
Botswana,2022,2.63,1.3,1.33,32.6,5.9,4.6,
Brazil,2022,215.31,105.73,109.58,20.3,14.6,25.8,
British Virgin Islands,2022,0.03,0.02,0.02,14.5,16.1,203.3,
Brunei Darussalam,2022,0.45,0.23,0.22,22.1,10.4,77.9,
Bulgaria,2022,6.78,3.29,3.49,14,29.2,62.6,
Burkina Faso,2022,22.67,11.3,11.37,43.7,4.1,82.9,
Burundi,2022,12.89,6.4,6.49,45.8,3.8,496.7,
Cabo Verde,2022,0.59,0.29,0.3,26.2,8.7,147.2,
Cambodia,2022,16.77,8.3,8.47,28.9,9.7,92.6,
Cameroon,2022,27.91,13.92,13.99,42.2,4.2,59.9,
Canada,2022,38.45,19.11,19.34,15.6,25.9,4.2,
Cayman Islands,2022,0.07,0.03,0.03,16.8,13.1,285.1,
Central African Republic,2022,5.58,2.79,2.79,48.1,4.1,9,
Chad,2022,17.72,8.9,8.83,47.5,3.4,14.1,
Chile,2022,19.6,9.73,9.87,18.3,18.3,26,
China,2022,1425.89,727.64,698.24,17.2,18.6,148.5,
"China, Macao SAR",2022,0.7,0.33,0.37,14.8,19.5,21724,
Colombia,2022,51.87,25.58,26.3,21.3,13.5,46.2,
Comoros,2022,0.84,0.42,0.42,38,6.5,449.6,
"Congo, Dem. Rep.",2022,99.01,49.12,49.89,46.5,4.6,43.7,
"Congo, Rep.",2022,5.97,2.98,2.99,41.1,4.6,17.5,
Cook Islands,2022,0.02,0.01,0.01,23.6,17.5,70.9,
Costa Rica,2022,5.18,2.59,2.59,20.2,15.8,101.5,
Cote d’Ivoire,2022,28.16,14.22,13.95,41.5,3.8,88.6,
Croatia,2022,4.03,1.96,2.07,14.1,29.6,72.1,
Cuba,2022,11.21,5.56,5.65,15.7,22,105,
Curaçao,2022,0.19,0.09,0.1,17.2,21.4,450.9,
Cyprus,2022,1.25,0.63,0.62,15.9,20.4,135.4,
Czechia,2022,10.49,5.17,5.32,16,26.3,135.9,
Denmark,2022,5.88,2.93,2.96,16.1,26.5,138.8,
Djibouti,2022,1.12,0.56,0.56,30.4,7.1,48.4,
Dominica,2022,0.07,0.04,0.04,19.6,14.5,97,
Dominican Republic,2022,11.23,5.63,5.59,27.1,11.2,232.4,
Ecuador,2022,18,8.98,9.02,25.7,11.3,72.5,
Egypt,2022,110.99,56.12,54.87,32.9,7.7,111.5,
El Salvador,2022,6.34,3.02,3.32,25.4,11.6,305.8,
Equatorial Guinea,2022,1.67,0.88,0.79,38.5,5.1,59.7,
Eritrea,2022,3.68,1.82,1.87,39.2,6.1,30.4,
Estonia,2022,1.33,0.63,0.7,16.4,27,30.5,
Eswatini,2022,1.2,0.6,0.61,34.7,6.2,69.2,
Ethiopia,2022,123.38,61.98,61.4,39.6,4.9,123.4,
Falkland Islands (Malvinas),2022,0,0,0,17.7,17.4,0.3,
Faroe Islands,2022,0.05,0.03,0.03,20.7,23.6,38.3,
Fiji,2022,0.93,0.47,0.46,28.6,9.7,50.9,
Finland,2022,5.54,2.74,2.8,15.2,29.7,18.3,
France,2022,64.63,31.23,33.4,17.2,27.8,117.2,
French Guiana,2022,0.3,0.15,0.15,32.1,9.4,3.7,
French Polynesia,2022,0.31,0.15,0.15,21.3,15.2,83.1,
Gabon,2022,2.39,1.22,1.17,36.3,6,9.3,
Gambia,2022,2.71,1.35,1.36,43.1,4,267.4,
Georgia,2022,3.74,1.76,1.98,21.3,21,53.9,
Germany,2022,83.37,41.14,42.23,14,29.7,239.2,
Ghana,2022,33.48,16.7,16.78,36.9,5.9,147.1,
Gibraltar,2022,0.03,0.02,0.02,17,27.2,3264.9,
Greece,2022,10.39,5.08,5.3,13.9,29.4,79.4,
Greenland,2022,0.06,0.03,0.03,20.9,16.9,0.1,
Grenada,2022,0.13,0.06,0.06,24,14.9,368.9,
Guadeloupe,2022,0.4,0.18,0.22,18.1,27,243.1,
Guam,2022,0.17,0.09,0.09,26.1,17,317.5,
Guatemala,2022,17.84,8.83,9.01,32.4,7.1,166.5,
Guinea,2022,13.86,6.85,7.01,41.5,5.1,56.4,
Guinea-Bissau,2022,2.11,1.04,1.07,40.1,4.5,74.9,
Guyana,2022,0.81,0.4,0.41,28.6,9.9,4.1,
Haiti,2022,11.59,5.74,5.85,32.1,7.1,420.2,
Holy See,2022,,,,,,1160.2,
Honduras,2022,10.43,5.27,5.17,30.1,6.6,95.6,
Hong Kong,2022,7.49,3.45,4.04,12,28.7,6814.3,
Hungary,2022,9.97,4.79,5.18,14.4,25.8,110.1,
Iceland,2022,0.37,0.19,0.18,18.5,21,3.7,
India,2022,1417.17,731.18,685.99,25.3,10.5,476.7,
Indonesia,2022,275.5,138.7,136.8,25.2,10.9,144.2,
Iran,2022,88.55,44.71,43.84,23.6,11.6,54.4,
Iraq,2022,44.5,22.29,22.21,37.7,5.1,102.5,
Ireland,2022,5.02,2.49,2.53,19.6,20.5,73.5,
Isle of Man,2022,0.08,0.04,0.04,14.7,29.4,147.8,
Israel,2022,9.04,4.51,4.53,28.1,16.1,417.6,
Italy,2022,59.04,28.79,30.25,12.4,31,199.5,
Jamaica,2022,2.83,1.4,1.43,19.8,11.9,261.1,
Japan,2022,123.95,60.24,63.71,11.6,35.8,328.9,
Jordan,2022,11.29,5.85,5.44,32.1,6.3,127.1,
Kazakhstan,2022,19.4,9.34,10.06,29.7,12.8,7.2,
Kenya,2022,54.03,26.78,27.25,37.8,4.6,93,
Kiribati,2022,0.13,0.06,0.07,36.1,6.3,180.8,
Korea,2022,26.07,12.91,13.16,18.9,17.3,216.5,
Kuwait,2022,4.27,2.6,1.67,20.7,9.3,239.6,
Kyrgyzstan,2022,6.63,3.26,3.38,34.4,7.9,34.6,
Lao,2022,7.53,3.79,3.73,30.6,7.2,32.6,
Latvia,2022,1.85,0.86,0.99,15.6,29.1,29.7,
Lebanon,2022,5.49,2.66,2.83,27.4,14.4,536.6,
Lesotho,2022,2.31,1.14,1.17,34,6.6,75.9,
Liberia,2022,5.3,2.64,2.66,40.5,5.1,55.1,
Libya,2022,6.81,3.45,3.37,28.3,7.7,4.1,
Liechtenstein,2022,0.04,0.02,0.02,14.5,26.6,245.8,
Lithuania,2022,2.75,1.29,1.46,15.3,28.5,43.9,
Luxembourg,2022,0.65,0.33,0.32,15.8,20.8,250,
Madagascar,2022,29.61,14.84,14.78,39.1,5.3,50.9,
Malawi,2022,20.41,9.92,10.48,42.6,3.8,215.8,
Malaysia,2022,33.94,17.34,16.6,22.7,11.4,103.3,
Maldives,2022,0.52,0.3,0.22,21.7,7.8,1746,
Mali,2022,22.59,11.41,11.19,47.2,3.7,18.5,
Malta,2022,0.53,0.28,0.26,13.1,25,1693,
Marshall Islands,2022,0.04,0.02,0.02,32.5,7.6,230.9,
Martinique,2022,0.37,0.17,0.2,15.9,30.6,346.7,
Mauritania,2022,4.74,2.32,2.41,41.6,5.1,4.6,
Mauritius,2022,1.3,0.64,0.66,16.3,19,640.1,
Mayotte,2022,0.33,0.15,0.17,44.2,4.6,869.6,
Mexico,2022,127.5,62.2,65.31,24.5,12.2,65.1,
Micronesia (Fed. States of),2022,0.11,0.06,0.06,30.3,9.8,163.1,
Moldova,2022,3.27,1.56,1.71,19.3,19.4,99.5,
Monaco,2022,0.04,0.02,0.02,13,43.7,24475.8,
Mongolia,2022,3.4,1.69,1.71,32.5,8,2.2,
Montenegro,2022,0.63,0.31,0.32,18.1,22.9,45.4,
Montserrat,2022,0,0,0,12.8,24.4,42.6,
Morocco,2022,37.46,18.85,18.61,26.6,11.9,83.9,
Mozambique,2022,32.97,16.18,16.79,43.5,4.2,41.9,
Myanmar,2022,54.18,26.96,27.22,24.6,10.8,82.9,
Namibia,2022,2.57,1.24,1.33,36.2,6.1,3.1,
Nauru,2022,0.01,0.01,0.01,38.8,4.6,633.4,
Nepal,2022,30.55,14.65,15.9,28.9,9,207.6,
Netherlands,2022,17.56,8.73,8.83,15.4,27,521.6,
New Caledonia,2022,0.29,0.14,0.15,22.2,15.8,15.9,
New Zealand,2022,5.19,2.57,2.62,18.7,22.2,19.6,
Nicaragua,2022,6.95,3.42,3.52,29.7,7.9,57.7,
Niger,2022,26.21,13.29,12.91,48.8,3.9,20.7,
Nigeria,2022,218.54,110.45,108.09,43,4.7,240,
Niue,2022,0,0,0,26.1,21,7.4,
North Macedonia,2022,2.09,1.04,1.05,16,21.3,84,
Northern Mariana Islands,2022,0.05,0.03,0.02,21.2,18.8,108.4,
Norway,2022,5.43,2.74,2.69,16.7,24.2,17.9,
Oman,2022,4.58,2.79,1.79,27,4.5,14.8,
Other non-specified areas,2022,23.89,11.83,12.07,12.6,23.7,674.8,
Pakistan,2022,235.82,118.96,116.86,36.6,6.8,305.9,
Palau,2022,0.02,0.01,0.01,21,15.6,39.2,
Panama,2022,4.41,2.2,2.2,26.1,12.7,59.4,
Papua New Guinea,2022,10.14,5.23,4.91,34.2,5.5,22.4,
Paraguay,2022,6.78,3.4,3.38,28.9,9.4,16.8,
Peru,2022,34.05,16.86,17.19,26,12,26.6,
Philippines,2022,115.56,58.68,56.88,30.3,8.6,385.2,
Poland,2022,39.86,19.3,20.56,15.2,25,130.2,
Portugal,2022,10.27,4.85,5.42,13.2,29.7,111.7,
Puerto Rico,2022,3.25,1.53,1.72,13.4,30,374.2,
Qatar,2022,2.7,1.95,0.74,15.8,3.3,232.6,
Réunion,2022,0.97,0.47,0.5,22.8,18.8,389.6,
Romania,2022,19.66,9.51,10.15,15.9,24.5,85.4,
Russian Federation,2022,144.71,67.21,77.5,17.7,22.8,8.8,
Rwanda,2022,13.78,6.74,7.04,38.5,5.2,569.1,
Saint Barthélemy,2022,0.01,0.01,0.01,13.3,16.8,498.5,
Saint Helena,2022,0.01,0,0,14.1,38.2,13.8,
Saint Kitts and Nevis,2022,0.05,0.02,0.02,19.5,16,183.3,
Saint Lucia,2022,0.18,0.09,0.09,18,14.2,292,
Saint Martin (French part),2022,0.03,0.02,0.02,21.7,17.7,599.8,
Saint Pierre and Miquelon,2022,0.01,0,0,16.9,23.8,25.5,
Saint Vincent & Grenadines,2022,0.1,0.05,0.05,21.9,16.2,266.5,
Samoa,2022,0.22,0.11,0.11,37.6,8.1,78.6,
San Marino,2022,0.03,0.02,0.02,12.7,27.8,551.8,
Sao Tome and Principe,2022,0.23,0.11,0.11,39.5,5.9,236.9,
Saudi Arabia,2022,36.41,20.98,15.43,25.9,5.3,16.9,
Senegal,2022,17.32,8.52,8.8,41.5,4.9,89.9,
Serbia,2022,7.22,3.46,3.76,14.4,27.1,94.1,
Seychelles,2022,0.11,0.06,0.05,23.1,13.1,234.4,
Sierra Leone,2022,8.61,4.31,4.29,39,5.1,120,
Singapore,2022,5.98,3.13,2.85,11.8,23,8749.2,
Sint Maarten (Dutch part),2022,0.04,0.02,0.02,11,19.7,1299.3,
Slovakia,2022,5.64,2.76,2.89,15.7,23.1,115.1,
Slovenia,2022,2.12,1.07,1.05,15.1,27.7,105.3,
Solomon Islands,2022,0.72,0.37,0.35,39.1,5.5,25.2,
Somalia,2022,17.6,8.82,8.78,47.2,4.1,28.1,
South Africa,2022,59.89,29.17,30.73,28.6,8.7,49.1,
South Sudan,2022,10.91,5.4,5.51,43.9,4.8,19.3,
Spain,2022,47.56,23.31,24.25,13.8,26.8,94.7,
Sri Lanka,2022,21.83,10.51,11.32,22.8,16.7,348.2,
State of Palestine,2022,5.25,2.62,2.63,38.8,5.5,872.1,
Sudan,2022,46.87,23.42,23.45,40.9,5.5,26.6,
Suriname,2022,0.62,0.31,0.31,26.2,11.4,4,
Sweden,2022,10.55,5.32,5.23,17.6,25.7,25.9,
Switzerland,2022,8.74,4.34,4.4,15,25.7,218.6,
Syria,2022,22.13,11.08,11.05,31.4,7.2,120.4,
Tajikistan,2022,9.95,5.01,4.94,36.3,6.2,69.6,
Tanzania,2022,65.5,32.37,33.13,43.4,4.7,73.9,
Thailand,2022,71.7,34.81,36.89,15.5,22,140.3,
Timor-Leste,2022,1.34,0.68,0.66,34.7,7.3,90.2,
Togo,2022,8.85,4.45,4.4,40,5.1,162.7,
Tokelau,2022,0,0,0,28.5,12.9,155.9,
Tonga,2022,0.11,0.05,0.05,34.3,9,164.4,
Trinidad and Tobago,2022,1.53,0.76,0.78,19,17.2,298.4,
Tunisia,2022,12.36,6.1,6.26,24.8,13.7,79.5,
Turkiye,2022,85.34,42.76,42.58,23.2,12.7,110.9,
Turkmenistan,2022,6.43,3.19,3.24,31.1,8.8,13.7,
Turks and Caicos Islands,2022,0.05,0.02,0.02,16.7,15.6,48.1,
Tuvalu,2022,0.01,0.01,0.01,31.7,11.1,377.1,
Uganda,2022,47.25,23.4,23.85,44.8,2.9,236.5,
Ukraine,2022,39.7,18.23,21.47,15.4,26.5,68.5,
United Arab Emirates,2022,9.44,6.55,2.89,15.2,3.5,132.9,
United Kingdom,2022,67.51,33.36,34.15,17.5,25.2,278.1,
United States,2022,338.29,167.5,170.79,18,23.4,37,
Uruguay,2022,3.42,1.66,1.76,19.1,20.8,19.8,
Uzbekistan,2022,34.63,17.33,17.3,30.2,8.6,81.4,
Vanuatu,2022,0.33,0.16,0.16,39.4,5.8,26.8,
Venezuela,2022,28.3,14,14.3,27.6,12.9,30.9,
Vietnam,2022,98.19,48.5,49.69,22.4,13.8,313.3,
Virgin Islands,2022,0.1,0.05,0.05,19.2,27.7,284.2,
Wallis and Futuna Islands,2022,0.01,0.01,0.01,22.7,19.1,82.7,
Western Sahara,2022,0.58,0.32,0.26,24.3,9.4,2.2,
Yemen,2022,33.7,17.02,16.67,39.5,4.1,63.8,
Zambia,2022,20.02,9.88,10.14,42.9,3,26.9,
Zimbabwe,2022,16.32,7.71,8.61,40.6,4.8,42.2,
