Country,Year,Pop_mill,Pop_male_mill,Pop_female_mill,Pop_0_14_per,Pop_60_plus_per,Pop_density,Surface_area_thou_km2
Djibouti,2015,1.01,0.5,0.51,33.9,6.3,43.4,23
Dominica,2015,0.07,0.04,0.03,21.7,13.4,93.3,1
Dominican Republic,2015,10.41,5.24,5.16,29,9.1,215.4,49
Ecuador,2015,16.2,8.1,8.1,29,9.8,65.2,257
Egypt,2015,97.72,49.47,48.25,33.5,6.9,98.2,1002
El Salvador,2015,6.23,2.98,3.26,28.4,10.4,300.7,21
Equatorial Guinea,2015,1.35,0.71,0.64,38.7,5,48,28
Eritrea,2015,3.34,1.64,1.7,42.2,5.7,27.6,118
Estonia,2015,1.31,0.62,0.7,16,25.2,30.2,45
Eswatini,2015,1.13,0.56,0.58,37.5,5.3,65.3,17
Ethiopia,2015,102.47,51.56,50.91,42.5,4.6,102.5,1104
Falkland Islands (Malvinas),2015,0,0,0,17.9,14.8,0.3,12
Faroe Islands,2015,0.05,0.03,0.02,21,22.8,35.2,1
Fiji,2015,0.92,0.46,0.45,30.2,7.8,50.2,18
Finland,2015,5.48,2.7,2.78,16.4,27,18.1,338
France,2015,63.81,30.86,32.95,18.2,25.3,115.7,552
French Guiana,2015,0.26,0.13,0.13,33.7,7.6,3.1,84
French Polynesia,2015,0.29,0.15,0.14,24.1,11.3,79.2,4
Gabon,2015,2.03,1.04,0.99,36.7,5.9,7.9,268
Gambia,2015,2.25,1.12,1.13,45.4,3.8,222.6,11
Georgia,2015,3.77,1.78,1.99,19.4,19.5,54.3,70
Germany,2015,82.07,40.44,41.64,13.2,27.3,235.5,357
Ghana,2015,28.87,14.4,14.47,38.9,5,126.9,239
Gibraltar,2015,0.03,0.02,0.02,17.8,23.7,3252,0
Greece,2015,10.81,5.31,5.5,14.6,26.7,82.6,132
Greenland,2015,0.06,0.03,0.03,21.1,12.8,0.1,2166
Grenada,2015,0.12,0.06,0.06,24,12.9,349.9,0
Guadeloupe,2015,0.4,0.18,0.22,20.5,22.2,245.1,2
Guam,2015,0.17,0.09,0.08,26.9,13.2,310.5,1
Guatemala,2015,16,7.93,8.07,36.2,6.5,149.3,109
Guinea,2015,11.63,5.71,5.91,43.3,5.2,47.3,246
Guinea-Bissau,2015,1.79,0.88,0.91,42.8,4.3,63.6,36
Guyana,2015,0.76,0.37,0.38,30.1,8.3,3.8,215
Haiti,2015,10.56,5.25,5.32,34.2,6.5,383.2,28
Holy See,2015,,,,,,1281.8,0
Honduras,2015,9.29,4.7,4.6,34.2,5.7,85.2,112
Hong Kong,2015,7.4,3.43,3.97,11.6,21.9,6733.2,1
Hungary,2015,9.84,4.69,5.15,14.5,25.4,108.7,93
Iceland,2015,0.33,0.17,0.16,20.2,19.1,3.3,103
India,2015,1322.87,683.54,639.32,28.6,8.9,444.9,3287
Indonesia,2015,259.09,130.52,128.57,26.9,9.3,135.6,1911
Iran,2015,81.79,41.45,40.34,23.5,9.2,50.2,1629
Iraq,2015,37.76,18.85,18.91,40.3,5,87,435
Ireland,2015,4.67,2.31,2.36,21.4,18.1,68.2,70
Isle of Man,2015,0.08,0.04,0.04,16.1,26.5,146.1,1
Israel,2015,8.01,3.98,4.03,28.1,15.2,370,22
Italy,2015,60.23,29.21,31.02,13.7,28,203.5,302
Jamaica,2015,2.79,1.39,1.41,23.3,9.4,258,11
Japan,2015,127.25,61.93,65.32,12.7,33.9,337.7,
Jordan,2015,9.49,4.94,4.55,35.1,4.9,106.9,89
Kazakhstan,2015,17.84,8.53,9.31,27,11,6.6,2725
Kenya,2015,46.85,23.27,23.58,41.6,3.8,80.7,592
Kiribati,2015,0.12,0.06,0.06,35.6,5.5,160.8,1
Korea,2015,25.26,12.4,12.86,19.8,14.2,209.8,121
Kuwait,2015,3.91,2.34,1.57,21.7,4.6,219.4,18
Kyrgyzstan,2015,5.92,2.9,3.02,32.5,6.4,30.8,200
Lao,2015,6.79,3.42,3.36,33.1,6.4,29.4,237
Latvia,2015,1.99,0.91,1.08,15,26.2,32,65
Lebanon,2015,6.4,3.17,3.23,24.8,10.9,625.5,10
Lesotho,2015,2.12,1.04,1.08,35.1,6.3,69.8,30
Liberia,2015,4.61,2.29,2.32,42.6,5.2,47.9,111
Libya,2015,6.19,3.15,3.05,31.6,6.7,3.7,1676
Liechtenstein,2015,0.04,0.02,0.02,15,22.5,233.5,0
Lithuania,2015,2.96,1.37,1.59,14.5,25.1,47.3,65
Luxembourg,2015,0.57,0.29,0.28,16.6,19.3,219.8,3
Madagascar,2015,24.85,12.47,12.38,41.3,4.7,42.7,587
Malawi,2015,16.94,8.22,8.72,46,4.4,179.1,118
